YEAR,MONTH,DAY,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,CATEGORY
1943,10,23,7.2,MYANMAR (BURMA),MYANMAR (BURMA),21.5,93.5,Earthquake
1944,3,9,7.2,CHINA,CHINA:  XINJIANG PROVINCE,44,84,Earthquake
1949,12,29,7.2,PHILIPPINES,PHILIPPINES:  LUZON:  E,17,121.63,Earthquake
1953,5,31,7.2,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC: PUERTO PLATA,19.8,-70.7,Earthquake
1953,8,12,7.2,GREECE,GREECE:  LIXOURI-ARGOSTOLI (KEPHALLENIA),38.3,20.8,Earthquake
1957,2,23,7.2,TAIWAN,"TAIWAN:  HUALIEN, TAIPEI",23.9,121.6,Earthquake
1959,10,27,7.2,RUSSIA,RUSSIA:  KAMCHATKA,45.89,151.11,Earthquake
1962,4,12,7.2,JAPAN,JAPAN:  SANRIKU,38.073,142.741,Earthquake
1962,5,19,7.2,MEXICO,MEXICO:  S,17.2,-99.5,Earthquake
1962,9,1,7.2,IRAN,IRAN:   BUYIN-ZARA,35.63,49.87,Earthquake
1963,3,24,7.2,IRAN,IRAN:  KARKHANEH,34.4,47.9,Earthquake
1965,6,11,7.2,RUSSIA,RUSSIA:  KURIL ISLANDS,44.7,148.7,Earthquake
1966,12,31,7.2,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.334,166.684,Earthquake
1968,2,19,7.2,GREECE,GREECE:  AEGEAN SEA:  ST EUSTRATIOS,39.368,24.957,Earthquake
1968,6,12,7.2,JAPAN,JAPAN:  SANRIKU,39.4,143.1,Earthquake
1969,12,25,7.2,GUADELOUPE,GUADELOUPE: GRAND BOURG,15.8,-59.7,Earthquake
1972,2,29,7.2,JAPAN,"JAPAN:  S OF HONSHU:  HACHIJOJIMA, TOKYO",33.3,140.8,Earthquake
1972,4,25,7.2,PHILIPPINES,"PHILIPPINES:  MINDORO, LUZON, MANILA",13.4,120.3,Earthquake
1973,2,28,7.2,RUSSIA,"RUSSIA:  KURIL ISLANDS, HIROO, URAKAWA",50.5,156.6,Earthquake
1973,12,29,7.2,VANUATU,"VANUATU ISLANDS:  LUGANVILLE, LAMAP",-15.12,166.9,Earthquake
1977,6,22,7.2,TONGA,TONGA TRENCH,-22.878,-175.9,Earthquake
1977,10,10,7.2,TONGA,TONGA TRENCH,-25.856,-175.406,Earthquake
1980,11,8,7.2,USA,CALIFORNIA:  NORTH COAST,41.117,-124.253,Earthquake
1983,1,17,7.2,GREECE,GREECE: IONIAN SEA,38.026,20.228,Earthquake
